,code,id,title,url
38,300063,300063_2014,广东天龙油墨集团股份有限公司2014年年度报告,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=300063&id=1748028
39,300063,300063_2013,广东天龙油墨集团股份有限公司2013年年度报告,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=300063&id=1377110
40,300063,300063_2012,广东天龙油墨集团股份有限公司2012年年度报告,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=300063&id=1087266
41,300063,300063_2011,广东天龙油墨集团股份有限公司2011年年度报告,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=300063&id=851246
42,300063,300063_2010,广东天龙油墨集团股份有限公司2010年年度报告,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=300063&id=685269
43,000793,000793_2017,华闻传媒：2017年年度报告,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=000793&id=4383250
44,000793,000793_2016,华闻传媒：2016年年度报告（更新后）,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=000793&id=3239274
45,000793,000793_2015,华闻传媒：2015年年度报告（更新后）,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=000793&id=2358238
46,000793,000793_2014,华闻传媒投资集团股份有限公司2014年年度报告(更新后),http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=000793&id=1678126
47,000793,000793_2013,华闻传媒投资集团股份有限公司2013年年度报告,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=000793&id=1316610
48,000793,000793_2012,华闻传媒投资集团股份有限公司2012年年度报告,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=000793&id=1041588
49,000793,000793_2011,华闻传媒投资集团股份有限公司2011年年度报告,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=000793&id=847900
50,000779,000779_2017,三毛派神：2017年年度报告,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=000779&id=4109607
51,000779,000779_2016,三毛派神：2016年年度报告,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=000779&id=3120186
52,000779,000779_2015,三毛派神：2015年年度报告,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=000779&id=2270550
53,000779,000779_2014,兰州三毛实业股份有限公司2014年年度报告,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=000779&id=1658558
54,000779,000779_2013,兰州三毛实业股份有限公司2013年年度报告,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=000779&id=1364440
55,000779,000779_2012,兰州三毛实业股份有限公司2012年年度报告,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=000779&id=1053099
56,000779,000779_2011,兰州三毛实业股份有限公司2011年年度报告,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=000779&id=849115
57,000779,000779_2010,兰州三毛实业股份有限公司2010年年度报告,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=000779&id=653074
58,000779,000779_2009,兰州三毛实业股份有限公司2009年年度报告,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=000779&id=509279
59,000779,000779_2008,兰州三毛实业股份有限公司2008年年度报告,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=000779&id=393153
60,002040,002040_2017,南京港：2017年年度报告,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=002040&id=4325348
61,002040,002040_2016,南京港：2016年年度报告,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=002040&id=3207476
62,002040,002040_2015,南京港：2015年年度报告,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=002040&id=2406996
63,002040,002040_2014,南京港股份有限公司2014年年度报告,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=002040&id=1723395
64,002040,002040_2013,南京港股份有限公司2013年年度报告,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=002040&id=1362528
65,002040,002040_2012,南京港股份有限公司2012年年度报告,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=002040&id=1049198
66,002040,002040_2011,南京港股份有限公司2011年年度报告,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=002040&id=862644
67,002040,002040_2010,南京港股份有限公司2010年年度报告,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=002040&id=706758
68,002040,002040_2008,南京港股份有限公司2008年年度报告,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=002040&id=402108
69,603660,603660_2017,苏州科达2017年年度报告,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=603660&id=4251817
70,603660,603660_2016,苏州科达2016年年度报告,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=603660&id=3214207
71,601918,601918_2017,新集能源2017年年度报告,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=601918&id=4171531
72,601918,601918_2016,*ST新集2016年年度报告,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=601918&id=3118116
73,601918,601918_2015,国投新集2015年年度报告,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=601918&id=2439594
74,601918,601918_2013,国投新集能源股份有限公司2013年年度报告,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=601918&id=1327280
